X,Y,Z,I,J,K
-6000.0,-1191.844,-1189.2063,0.0189813,-0.7294326,-0.6837893
-6000.0,-1116.9599,-1264.1842,0.0194426,-0.6846481,-0.7286144
-6000.0,-1037.4658,-1334.2557,0.019918,-0.6369006,-0.7706886
-6000.0,-953.6663,-1399.1163,0.0203995,-0.5863956,-0.8097679
-6000.0,-865.9015,-1458.5025,0.0208883,-0.5335464,-0.8455128
-6000.0,-774.5152,-1512.1475,0.0213715,-0.4783026,-0.877935
-6000.0,-679.8917,-1559.852,0.0218572,-0.4212095,-0.9067
-6000.0,-582.4044,-1601.3916,0.0223326,-0.3623694,-0.931767
-6000.0,-482.463,-1636.616,0.022801,-0.3018442,-0.9530846
-6000.0,-380.4621,-1665.3509,0.0232522,-0.2399418,-0.9705088
-5950.0388,-318.2183,-1678.2581,0.0233077,-0.2017585,-0.9791579
-5950.0386,-421.176,-1653.5374,0.0228697,-0.264735,-0.96405
-5950.0383,-522.3302,-1622.2383,0.0224042,-0.3260593,-0.9450838
-5950.038,-621.2696,-1584.518,0.0219216,-0.3857382,-0.9223478
-5950.0376,-717.5946,-1540.5495,0.0214336,-0.4441641,-0.895689
-5950.0373,-810.9112,-1490.5071,0.0209345,-0.5003249,-0.8655846
-5950.037,-900.8368,-1434.602,0.0204355,-0.5547924,-0.8317378
-5950.0366,-987.0086,-1373.0685,0.0199331,-0.6066568,-0.7947139
-5950.0363,-1069.0794,-1306.1631,0.0194361,-0.6561203,-0.754406
-5950.0359,-1146.7256,-1234.1701,0.0189469,-0.7027294,-0.7112049
-5950.0355,-1219.6541,-1157.4005,0.0184736,-0.7462726,-0.665384
-5950.0352,-1287.6017,-1076.1893,0.0180257,-0.7865267,-0.6172931
-5950.0348,-1350.3515,-990.898,0.017624,-0.8234724,-0.5670825
-5950.0345,-1407.6503,-901.8535,0.0172712,-0.8571707,-0.5147428
-5950.0341,-1459.4144,-809.4792,0.0169641,-0.8863988,-0.4626115
-5950.0338,-1505.5259,-714.1599,0.0168014,-0.9129965,-0.4076213
-5950.0336,-1545.8328,-616.2404,0.0166979,-0.9352227,-0.353666
-5950.0334,-1580.3626,-516.14,0.0167714,-0.9543644,-0.2981734
-5950.0333,-1609.0396,-414.2065,0.0169796,-0.9697926,-0.2433393
-5950.0332,-1631.8853,-310.8114,0.0173886,-0.9820114,-0.1880195
-5950.0333,-1648.8936,-206.2964,0.0179892,-0.9909185,-0.133255
-5950.0335,-1660.1124,-101.0034,0.0188253,-0.9967334,-0.078538
-5950.0338,-1665.5642,4.7449,0.0198919,-0.9995006,-0.0245523
-5950.0343,-1665.3059,110.6306,0.0212312,-0.9993425,0.0293914
-5950.0351,-1659.3775,216.3491,0.0228244,-0.9963371,0.0824106
-5950.0361,-1647.8529,321.602,0.0247067,-0.9905248,0.1350931
-5950.0374,-1630.7772,426.0955,0.0268749,-0.9819412,0.1872675
-5950.0391,-1608.1866,529.5329,0.0293353,-0.9705266,0.239202
-5950.0412,-1580.1087,631.6127,0.0320762,-0.9562274,0.2908614
-5950.0437,-1546.5716,732.0255,0.0350816,-0.9389597,0.3422339
-5950.0467,-1507.6061,830.4523,0.0383295,-0.9186196,0.3932797
-5950.0503,-1463.2536,926.565,0.041792,-0.895104,0.4438945
-5950.0543,-1413.5573,1020.019,0.0454329,-0.8683063,0.4939434
-5950.0589,-1358.608,1110.4756,0.0492074,-0.8383103,0.5429681
-5950.064,-1298.4978,1197.5785,0.0530954,-0.8047607,0.59122
-5950.0695,-1233.318,1280.9427,0.0570388,-0.7676161,0.6383667
-5950.0755,-1163.223,1360.2082,0.0609749,-0.7271341,0.6837821
-5950.0817,-1088.3779,1434.9916,0.0648742,-0.6828483,0.7276741
-5950.0881,-1008.9693,1504.8956,0.0686665,-0.6348633,0.7695671
-5950.0946,-925.226,1569.5299,0.0722869,-0.5832408,0.8090765
-5950.101,-837.414,1628.4969,0.0756746,-0.5278718,0.8459461
-5950.1071,-745.8408,1681.4171,0.0787544,-0.4690733,0.8796408
-5950.1126,-650.8607,1727.9275,0.0814618,-0.4070232,0.909778
-5950.1173,-552.8751,1767.6978,0.083736,-0.3420003,0.9359616
-5950.1489,-472.1507,1792.6289,0.085273,-0.2576911,0.9624572
-5950.3252,-369.2418,1817.1529,0.0856825,-0.2038061,0.9752546
-5950.4215,-265.1302,1835.9183,0.0860167,-0.1493736,0.9850323
-5950.4948,-160.1383,1848.8779,0.0862779,-0.0945146,0.9917778
-5950.5676,-54.5874,1855.9946,0.0864661,-0.0393485,0.9954774
-5950.5609,51.1932,1857.2348,0.0865775,0.0160019,0.9961166
-5950.3323,127.7248,1854.4345,0.0863297,0.0763442,0.9933372
-5950.1172,208.7617,1842.6716,0.0836415,0.1715779,0.9816135
-5950.1113,312.1921,1820.6794,0.0807884,0.242614,0.9667532
-5950.1045,413.7739,1791.2735,0.0774263,0.3111468,0.9472026
-5950.0972,513.0376,1754.7674,0.0736492,0.3764878,0.9234894
-5950.0897,609.571,1711.5276,0.0695572,0.438226,0.8961695
-5950.0823,703.0271,1661.9576,0.0652617,0.4959314,0.8659058
-5950.0752,793.1139,1606.4767,0.0608441,0.5499365,0.8329873
-5950.0685,879.5903,1545.4978,0.0564147,0.5998261,0.7981391
-5950.0624,962.2734,1479.4475,0.0520617,0.6457652,0.7617591
-5950.057,1041.0206,1408.7364,0.0478716,0.6878248,0.7242964
-5950.0524,1115.827,1333.8467,0.0440062,0.7253839,0.6869365
-5950.0484,1186.419,1254.9767,0.0402135,0.7625793,0.6456436
-5950.045,1252.6987,1172.4329,0.0367887,0.7953854,0.6049864
-5950.0423,1314.6387,1086.5678,0.0337821,0.8242774,0.5651775
-5950.0402,1372.43,997.8531,0.0312167,0.8508954,0.5244069
-5950.0383,1425.4689,906.2328,0.0286833,0.878493,0.4768933
-5950.037,1473.6315,811.9388,0.0266197,0.9014092,0.4321491
-5950.0359,1516.8058,715.266,0.0247484,0.9231858,0.3835564
-5950.0352,1555.0245,616.5164,0.0233358,0.9413514,0.33662
-5950.0346,1587.8404,515.8508,0.0219818,0.9587501,0.283399
-5950.0342,1615.1081,413.5391,0.0209318,0.9727755,0.2308021
-5950.034,1636.6307,309.8659,0.0200376,0.9842715,0.1755225
-5950.0338,1652.2933,205.146,0.0193763,0.9925465,0.1203162
-5950.0339,1662.1092,99.7156,0.0189359,0.9977486,0.064337
-5950.0339,1665.6696,-6.1038,0.0184564,0.9998276,0.0020275
-5950.034,1662.6674,-111.9478,0.0181337,0.9982311,-0.0566193
-5950.0342,1653.8443,-217.4715,0.0181576,0.9935858,-0.1116132
-5950.0344,1638.7836,-322.279,0.0181636,0.9848622,-0.1723848
-5950.0347,1617.3559,-425.9712,0.0182551,0.9723884,-0.2326531
-5950.0349,1589.4873,-528.1221,0.0183741,0.9559926,-0.2928148
-5950.0353,1555.5345,-628.4263,0.0186834,0.9371648,-0.3483863
-5950.0356,1515.4915,-726.423,0.0189631,0.9129117,-0.4077164
-5950.0359,1469.3887,-821.7674,0.0193553,0.8867011,-0.4619378
-5950.0363,1417.6157,-914.1468,0.0198226,0.8564194,-0.5159001
-5950.0366,1360.0362,-1002.9995,0.0202257,0.8205668,-0.5711926
-5950.0369,1296.7766,-1087.903,0.0206183,0.7824936,-0.6223171
-5950.0373,1228.3302,-1168.6932,0.021066,0.7421161,-0.6699402
-5950.0376,1154.8695,-1244.9489,0.0214882,0.6973754,-0.7163839
-5950.0379,1076.7278,-1316.4072,0.0219427,0.6512039,-0.7585855
-5950.0382,994.2278,-1382.7814,0.0223986,0.6015983,-0.7984847
-5950.0385,907.68,-1443.7852,0.0228585,0.549706,-0.8350454
-5950.0388,817.427,-1499.1592,0.023313,0.495382,-0.8683623
-5950.0391,723.8257,-1548.6585,0.0237545,0.4388048,-0.8982684
-5950.0394,627.2429,-1592.0523,0.0241723,0.3801366,-0.9246144
-5950.0396,528.0641,-1629.1276,0.0245551,0.3195432,-0.9472535
-5950.0398,426.6903,-1659.6931,0.0248911,0.2572735,-0.966018
-5950.04,323.5407,-1683.5854,0.0251695,0.1936115,-0.9807554
-5950.0401,219.0474,-1700.676,0.0253823,0.1289066,-0.9913318
-5950.04,113.6385,-1710.528,0.0252122,0.0541925,-0.9982122
-5950.0396,7.7827,-1712.5536,0.0246186,-0.0129314,-0.9996133
-5950.0393,-98.0274,-1708.24,0.0241145,-0.0681987,-0.9973803
-5950.0391,-203.3897,-1697.7334,0.0237607,-0.1318764,-0.9909814
-5900.0777,-286.8355,-1683.2226,0.0232088,-0.1827375,-0.9828878
-5900.0782,-182.2497,-1699.2075,0.0236129,-0.1183987,-0.9926853
-5900.0787,-76.8397,-1708.363,0.0239741,-0.0568485,-0.9980949
-5900.0793,28.9297,-1711.4705,0.0245184,-0.0006571,-0.9996992
-5900.08,134.6552,-1707.9631,0.0250748,0.0698657,-0.9972412
-5900.0801,239.8194,-1696.5636,0.025116,0.1418026,-0.9895763
-5900.0798,343.9994,-1678.132,0.0248901,0.2062954,-0.9781731
-5900.0795,446.7482,-1652.9307,0.0245988,0.2696814,-0.9626354
-5900.0791,547.6412,-1621.094,0.0242509,0.3316156,-0.9431029
-5900.0786,646.2612,-1582.7909,0.0238574,0.3918242,-0.9197307
-5900.078,742.2122,-1538.2165,0.02343,0.4500783,-0.8926816
-5900.0774,835.1119,-1487.5865,0.0229799,0.5062071,-0.8621057
-5900.0768,924.5981,-1431.133,0.0225178,0.5600908,-0.8281252
-5900.0762,1010.3154,-1369.106,0.0220508,0.6114785,-0.7909537
-5900.0756,1091.9188,-1301.7608,0.0215858,0.6605499,-0.7504718
-5900.0749,1169.122,-1229.4065,0.0211289,0.7062127,-0.7076844
-5900.0743,1241.5558,-1152.289,0.0206917,0.7504202,-0.6606371
-5900.0737,1308.9625,-1070.7357,0.0202379,0.7899987,-0.6127744
-5900.073,1371.1038,-985.1093,0.0198415,0.8279125,-0.5605061
-5900.0723,1427.4887,-895.6035,0.0194071,0.862782,-0.5052034
-5900.0716,1478.1249,-802.664,0.0189273,0.8920059,-0.4516273
-5900.0709,1523.0536,-706.8746,0.0185544,0.9179079,-0.3963596
-5900.0703,1561.8423,-608.4528,0.0182481,0.9412212,-0.3372975
-5900.0697,1594.6198,-507.8451,0.0179561,0.9594016,-0.2814713
-5900.0692,1621.2076,-405.441,0.0178386,0.9751982,-0.2206135
-5900.0687,1641.3705,-301.5806,0.0177348,0.9868455,-0.1606905
-5900.0682,1655.1531,-196.6844,0.0177234,0.9948376,-0.0999205
-5900.0678,1662.8411,-91.148,0.0177091,0.9987815,-0.0460648
-5900.0677,1664.5819,14.6355,0.0180945,0.999727,0.0147855
-5900.0677,1659.7216,120.3162,0.0185335,0.9969429,0.075904
-5900.0677,1648.7393,225.5473,0.0189869,0.9911587,0.1313163
-5900.0679,1631.9131,329.9986,0.019683,0.9822188,0.1867049
-5900.0685,1609.2249,433.3308,0.0205991,0.9700933,0.2418567
-5900.0693,1580.8498,535.2507,0.0216746,0.9555508,0.2940288
-5900.0705,1546.9019,635.4414,0.0230546,0.9375077,0.3472
-5900.072,1507.6942,733.7094,0.0245024,0.9190886,0.3932885
-5900.0743,1463.4722,829.8021,0.0264217,0.8966268,0.4419981
-5900.0772,1414.3421,923.486,0.0285592,0.8729439,0.4869838
-5900.081,1360.2761,1014.3826,0.0311063,0.8448955,0.5340262
-5900.0853,1301.6056,1102.4108,0.0336897,0.8184855,0.5735386
-5900.091,1238.783,1187.4898,0.0368123,0.7881594,0.6143692
-5900.0979,1171.6107,1269.1646,0.0402754,0.7547483,0.6547769
-5900.1062,1100.117,1347.0497,0.044084,0.7168536,0.6958287
-5900.1156,1024.503,1420.9435,0.0479752,0.6787411,0.7328089
-5900.1266,944.9516,1490.5388,0.0521859,0.6356668,0.7701976
-5900.1389,861.5055,1555.3816,0.0565327,0.5888317,0.8062762
-5900.1523,774.3198,1615.0621,0.0609339,0.538072,0.8406935
-5900.1666,683.5898,1669.1556,0.065298,0.4832972,0.8730178
-5900.1813,589.5754,1717.2622,0.0695244,0.4247784,0.9026238
-5900.1961,492.5764,1758.9636,0.0735224,0.3623639,0.9291323
-5900.2104,392.9546,1793.8723,0.0771861,0.2964483,0.9519247
-5900.2235,291.1312,1821.6387,0.0804181,0.2274709,0.9704586
-5900.2348,187.5861,1841.9695,0.0831305,0.1560653,0.9842423
-5900.6932,125.7685,1850.2575,0.0855316,0.055239,0.994803
-5900.6853,30.155,1853.1512,0.0854383,0.0050517,0.9963307
-5900.6736,-75.4253,1850.752,0.0852639,-0.0502725,0.9950893
-5900.5947,-180.712,1842.4921,0.0850165,-0.1053898,0.9907902
-5900.5245,-285.3774,1828.4071,0.0846997,-0.1601769,0.9834477
-5900.4088,-389.1002,1808.534,0.0843126,-0.2145136,0.9730752
-5900.2465,-491.5612,1782.9267,0.0838539,-0.2682786,0.9596849
-5900.2299,-581.3219,1752.545,0.0818111,-0.3610246,0.9289608
-5900.2201,-678.2974,1710.893,0.0794347,-0.4250578,0.901674
-5900.2089,-772.1682,1662.6175,0.0766441,-0.486125,0.8705218
-5900.1967,-862.5485,1608.055,0.0735052,-0.5438314,0.8359691
-5900.1839,-949.0968,1547.5663,0.0700798,-0.5980855,0.7983624
-5900.1711,-1031.5216,1481.5352,0.0664426,-0.6486178,0.7582087
-5900.1584,-1109.5618,1410.3523,0.0626529,-0.6955161,0.7157737
-5900.1462,-1182.9997,1334.4048,0.0587742,-0.7387371,0.6714261
-5900.1347,-1251.6597,1254.0892,0.054874,-0.7782309,0.6255761
-5900.124,-1315.3679,1169.7723,0.0509771,-0.8144107,0.5780454
-5900.1142,-1373.9894,1081.8198,0.0471549,-0.8469574,0.5295654
-5900.1055,-1427.4349,990.6133,0.0434538,-0.8760569,0.4802458
-5900.0978,-1475.6033,896.497,0.0398927,-0.9019898,0.4299105
-5900.0912,-1518.417,799.8136,0.0365238,-0.9246214,0.3791322
-5900.0855,-1555.8315,700.9024,0.0333745,-0.9441255,0.3278921
-5900.0808,-1587.8067,600.0896,0.030474,-0.9605772,0.2763382
-5900.0769,-1614.311,497.6903,0.0278423,-0.9740759,0.2245014
-5900.0738,-1635.3136,394.0159,0.025493,-0.9847022,0.172371
-5900.0714,-1650.787,289.3649,0.0234365,-0.9925005,0.119973
-5900.0696,-1660.6857,184.0359,0.0216644,-0.997513,0.0670703
-5900.0682,-1664.9673,78.3249,0.0201729,-0.9997034,0.0136465
-5900.0673,-1663.5467,-27.4683,0.0189386,-0.9990037,-0.0404105
-5900.0667,-1656.4033,-133.0313,0.0179647,-0.9953337,-0.0948053
-5900.0664,-1643.4693,-238.0456,0.0172255,-0.9886034,-0.1495548
-5900.0664,-1624.735,-342.1815,0.0167078,-0.9786982,-0.2046235
-5900.0665,-1600.1472,-445.0928,0.0163821,-0.9654985,-0.2598928
-5900.0668,-1569.7362,-546.4378,0.0162433,-0.9489542,-0.3149954
-5900.0673,-1533.4609,-645.8343,0.0162451,-0.9288886,-0.3700027
-5900.0678,-1491.4421,-742.942,0.0163942,-0.9052603,-0.424541
-5900.0684,-1443.6102,-837.3214,0.0166204,-0.8778874,-0.4785786
-5900.0691,-1390.2046,-928.6621,0.0169724,-0.8473684,-0.5307341
-5900.0697,-1331.2669,-1016.5326,0.0173573,-0.8125093,-0.5826898
-5900.0705,-1266.957,-1100.5533,0.0177975,-0.7746556,-0.6321328
-5900.0712,-1197.5188,-1180.3863,0.018273,-0.7333365,-0.6796203
-5900.0719,-1123.1795,-1255.6775,0.0187706,-0.6888414,-0.7246691
-5900.0726,-1044.2131,-1326.0985,0.0192805,-0.6413651,-0.7669935
-5900.0733,-960.9207,-1391.3448,0.0197939,-0.5910944,-0.8063595
-5900.074,-873.6372,-1451.1492,0.020312,-0.5385043,-0.8423779
-5900.0747,-782.7074,-1505.2474,0.0208215,-0.4834238,-0.8751388
-5900.0754,-688.5096,-1553.4334,0.0213307,-0.4265884,-0.9041943
-5900.076,-591.4201,-1595.4834,0.0218255,-0.3678462,-0.9296305
-5900.0766,-491.8449,-1631.2458,0.0223115,-0.3075417,-0.951273
-5900.0772,-390.1774,-1660.5454,0.022777,-0.2458282,-0.9690458
-5850.1163,-307.3998,-1678.0931,0.0228761,-0.1950759,-0.9805213
-5850.1155,-410.3655,-1654.1198,0.0224333,-0.2581131,-0.9658542
-5850.1146,-511.576,-1623.5639,0.021958,-0.3195338,-0.9473204
-5850.1137,-610.6193,-1586.5818,0.0214615,-0.3793951,-0.9249858
-5850.1127,-707.0988,-1543.3477,0.0209561,-0.4379443,-0.8987578
-5850.1117,-800.6173,-1494.0258,0.0204355,-0.4943156,-0.8690423
-5850.1107,-890.7933,-1438.8322,0.0199122,-0.549003,-0.8355831
-5850.1097,-977.2592,-1377.9914,0.0193811,-0.6011043,-0.7989355
-5850.1086,-1059.669,-1311.7612,0.0188528,-0.6508552,-0.7589677
-5850.1075,-1137.6964,-1240.4194,0.0183286,-0.6977697,-0.7160877
